File Name,Package Name,Successfully Logged,"Triggered(Real/Emu/Both,None)",Trigger Type,Behavior Type,Behavior Difference,First Evading Point,Selected Round
444F918AA5B49CAA55B7065C6908CEE1040558CE9357CBB3E3716FFD9966D67F,com.huawei.agilecontroller.boarding,False,,build,native_log_model,False,,3
76D4011AA6F04163030BFA27E7043DED27A4CB01D371B0C9DEC73D7107817416,com.hvt.camera2test,True,,camera,write_phone_number,0.9775376499617119,"END: Lcom/hvt/camera2test/MainActivity;->onCreateOptionsMenu(Landroid/view/Menu;)Z
",0
E2935841F2528A6DC70601D10EA4101C54C6AF6AD6E2846CFAF6FCFE29508CCC,com.iamadeel.resultcheck,True,Both,build,http_location,0.0,"START: Lcom/iamadeel/resultcheck/MainActivity;->onBackPressed()V
",0
09AF0B0BE094C35CEBD15846CFEB030AEFDF6468A852EAC2F2F4EA33627F423B,com.imorapid.com,False,,location,sms_imei,False,,4
4485DC8B4985340840AEE8A86CF7381954D4A5E74B884F2E62962D165D7F8ECC,com.indiagury.whitepaper,False,,build,sms_imei,False,,3
CAFF12C0FFF2BD34EEE01C02CF3EF6526FD5BE3B6CDD758C8DBA78F37C320DD7,com.indiamatrix.saimaja,True,Both,location,write_string,0.058823529411764705,"START: Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V
",0
F0082B69E051AC75BDE22DD9DC74FD756D7AC80F003EF88FE3705DA6942E4E7B,com.jaskaran.freeweatherpro,False,,build,write_phone_number,False,,0
4D4E60974DAA5B9780622E71C6B8EE9F32781B260FD0B6D3C45A9B04DFC14F2F,com.kodam.child.kidsafe.browser,True,Both,camera,return,0.4479048697621744,"END: Lcom/kodam/child/kidsafe/browser/MainActivity;->onCreate(Landroid/os/Bundle;)V
",0
73BA4ACB6E11DB406250D00C771A270D86ADAC5C4F4AD6B2B44C746D3D83EF8B,com.KSAebuy.app,False,,build,sms_imei,False,,5
937161C0564BE53529E2785E84C19B5866B355981656AA8DB6D2EA6BDC3489BF,com.lab.flashlight.buddhalight6,True,,camera,http_location,0.9549388242315726,"END: Lcom/lab/flashlight/buddhalight6/PermissionAcitivity;->onCreate(Landroid/os/Bundle;)V
",0
F65E08F04A7DD282BF6F4DBAAEE53D0414E9C06DB5D2C2EE86D854E3367726B9,com.lalymb.hui.nogrid,True,,location,set_text_reflection,0.16869405554280467,"START: Lcom/sdk/adcardsdk/util/ParamsUtil;->getAdvertisingId()V
",0
AC3F577D0A8928130089FA6896ABB8F3EF21CB0BFBAD44B0C312C9BE491ED780,com.malseriesguideextension,True,,camera,native_write_phone_number,0.0,"END: Lcom/malseriesguideextension/MainActivity;->onCreateOptionsMenu(Landroid/view/Menu;)Z
",2
C67C99188DC772E5ABB555D10610CAAA6053D42FD8633573DA2DF67D887F155C,com.mjapplabs.tinybrightledflashlight,True,,build,set_text_reflection,0.2131578947368421,"END: Lcom/mjapplabs/tinybrightledflashlight/MainActivity;->onStop()V
",2
63AC91778448A8D09AF1253B23D9308AC57D461194B84EE6004621E10CAFE051,com.mobilinkd.tncconfig,True,Real,location,stop_wifi,0.17562012756909992,"END: Lcom/mobilinkd/tncconfig/TncConfig;->onCreate(Landroid/os/Bundle;)V
",1
D1DD4A44F7052113B18B54E19E77F05225EB7BB556527300D53D0376E1EB402E,com.mpsystemstore.iwaiter,True,Both,location,write_phone_number,0.25,"END: Lb/a/n/d;->getSystemService(Ljava/lang/String;)Ljava/lang/Object;
",0
E9E60E6BA28E5F954864B28ED09D71A16C1B21A09030D2A7A83619E649FA1E28,com.mynarski.mrev,False,,location,return,False,,2
F9271DB76D4A7A21F6B132F96E6D45E12D04320888C24A73903A923817179789,com.namit.nightmode,False,,build,stop_wifi,False,,3
DCEF322460C0EDA260F262BD6980048F9A9E9F80B30D5788AFE7A1E74CF087EB,com.narb.passwordmanagement,False,,build,http_location,False,,4
666A95136B630391AA490F02496D85765E75D9B4AA0999EE7CABFAB92C86D6A6,com.notebook.idealabs.deepsearch,True,Both,camera,write_phone_number,0.18181818181818182,"START: Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V
",0
E2259D2A13DF664A673FEECFDB4DC4AAFB3B30C4EA86A5A2E589123E056C8395,com.plena507.plena507,True,Both,location,write_string,0.18181818181818182,"START: Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V
",0
F307E4DB2E5BDE85716A663FBA943073A880BB92031F1F052B81CB6B0FE7FDD2,com.prueba.joel.sort,True,,location,return,0.553014553014553,"END: Lcom/prueba/joel/sort/MainActivity$myWebClient;->onPageStarted(Landroid/webkit/WebView;Ljava/lang/String;Landroid/graphics/Bitmap;)V
",0
5D5DCEA4CC9CFC622B735940995214C329230A9D40031C285B30DA1DC3464EF2,com.raincontinues.transarde,True,,build,stop_wifi,0.38524590163934425,"END: Lcom/raincontinues/transarde/a/b;->c(Ljava/lang/String;)V
",0
D09E439BAA3ECD60D49BFC3900C394168CE7E9A96C2F6F93DEF6B5F5E44BB017,com.rapidapper.qrscanner,True,,location,set_text,0.4648465381870093,"END: Lcom/rapidapper/qrscanner/ScannerActivity;->onCreateOptionsMenu(Landroid/view/Menu;)Z
",1
C437D892E2EE231C570DB73B89B01379049ED7CF6F3152F65365C090577D746F,com.ravelroads.kailash,True,Emu,location,return,0.5079872204472844,"END: Lcom/ravelroads/kailash/MainActivity;->onCreate(Landroid/os/Bundle;)V
",1
DF42ED256850DB7B95C17FF0A90379A23D60C6CC95284D675C37B3ADBC56FDA5,com.rclaret1.player,True,,camera,native_log_model,0.6990693739424704,"END: Lcom/rclaret1/player/MainActivity;->checkPlayServices()Z
",2
9FA30A5986E234C85E4D8166B548DD8E0CDED251DA8330990A212A9651F8F63B,com.reach.reacherp,False,,build,exit,False,,4
3EC8A1DAACD71118F2D696084604F50C2C76BE25A947D6FA40B9B8AC60B1AAF4,com.respaper.resapp,False,,build,exit,False,,0
9653EBB21E56D43F52BAB998B6A793BDD6C0B27007B8A3828A9EAA5818F0736B,com.ruleoffun.ebd,True,Both,build,native_log_model,0.36348343685300205,"START: Lcom/mesmotronic/plugins/FullScreenPlugin;->initialize(Lorg/apache/cordova/CordovaInterface;Lorg/apache/cordova/CordovaWebView;)V
",0
36EB158C162B8893BB57036D534E4E377C2A3824ECC6B55DFE63E8D27F68D285,com.samanyagyan2018.dhokha,False,,build,native_write_phone_number,False,,3
3E2126E6B9AAD3FCF383F61C57D3A5AD0B838AC8ADE9EE5B81235AC002B262EF,com.santoexpedito.oracao,True,Both,build,stop_wifi,0.1645119586296057,"END: Lcom/rjfun/cordova/admob/AdMobPlugin;->onResume(Z)V
",0
F5DA306896F0D8F52374637D82BFE513BCCCFFD89B95B6D1EE53947FB1091843,com.shex.startfromzero_tagalog,True,Real,build,exit,0.9973347998984685,"START: Lcom/shex/startfromzero_tagalog/Wi;->h()V
",1
A6F6CE4450563593EF8DD1F471FD353FF31569AAAEF6280C6BCAAEE5A931F255,com.shyri.whitescreenapp,True,,build,native_write_phone_number,0.25,"END: Lb/b/b/a/b/e/b;->a(Ljava/lang/String;I)Landroid/content/pm/ApplicationInfo;
",0
F740C82ED49B2D930FF75352CD81875A80AB8B98F5061200F526A03CF630C4A6,com.sliding.ruler.o,False,,build,native_log_string,False,,3
67CC36D6BE48A5C70B1A9DC245DACB0BB7F3B54FD3E51534DDDE196B1A8FA7DF,com.soccer_x.www.twa,True,,location,return,0.71752385545489,"END: Lb/c/c/k;->j(I)Lb/c/c/k;
",0
69CEC401828E692B0BDDDF1F35BC6AA3BA929317CB8926E7A76D08CF00A3D146,com.sppgc.sardarpatelpgcollege,True,,camera,set_text,0.11764705882352941,"START: Lcom/sppgc/sardarpatelpgcollege/MainActivity;->onCreate(Landroid/os/Bundle;)V
",2
F38FA01AD748575873C32F3973F2C951AA222E1C577F7420A4B7C7FA10508144,com.tappsolutions.calc_lsnic_joint,True,Both,camera,http_location,0.18181818181818182,"START: Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V
",0
CC7FB6C4CFB6196745C16339DB9A96FDE931EF147A4DC94CF039C36B49331F7F,com.tiempo_english.rob,True,,location,stop_wifi,0.0,"END: Lcom/tiempo_english/rob/InfoActivity;->onResume()V
",1
0DE1220A0DC9713EE1EE686FC955943E83D8EDACD37C022ADF1A7C2601D2BA28,com.toni.toni21.camila12,False,Real,build,native_phone_number_network,False,,1
5B174C1FEBB9E7EADDCF14245D62450ADEF523ECC4FE6D3E99C2E499ACD77ACD,com.training.aamc,False,,camera,return,False,,4
B12887CB7C5CC15CE7CE119A26923A1819F643BA47F4FCD21C34A5DAC017109A,com.translatteh.com,False,,location,http_location,False,,4
92EF38AF5CEB81AFEDF3D87788644629476BA3327C0C4392CAB68EA0869C18A3,com.turbomedia.android,False,,camera,write_string,False,,4
1148784FACBFC63258303BB9B1EC8D1F212AE81A98DDE67F6808C283C1C90406,com.vgsa.vgsa_mobile,False,,build,return,False,,5
B10D2B015819D22178907D7D10B4D048E7DE996E3F39A88A72788A72D63C3D74,com.weclean4you.weclean4you,True,,camera,set_text,0.25,"START: Lcom/weclean4you/weclean4you/Home;->onCreate(Landroid/os/Bundle;)V
",0
5C5E1A98D9176312EA8C9B52B6A67366D0C62D1A86BA99693B8C4273C4A8BEB2,com.yiftach_rak.www.googleshortcutsbeta,False,,build,sms_string,False,,3
2D0B58E1A23273E668DD508F0C4A0BA6B104C81194C1DB9318DC94C46A004288,com.yiggdrasil.knou_answers_viewer,False,,location,sms_imei,False,,4
27B8100BDA5D227D815DE254E177201F3E2546A360D04477B035814BDD763572,com.zeninfotech.typenepali_nepalitexttospeech,True,,location,http_location,0.26093258240848105,"END: La/a/n/i;->onWindowAttributesChanged(Landroid/view/WindowManager$LayoutParams;)V
",1
65EAD12BE673B8380DFC9C268D8B5B468BFDECD9F1D6A71B28B6D6F5A9572122,de.airportpark24.car_tour24,True,Both,camera,http_location,0.24242424242424243,"START: Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V
",0
0548CB94AF84B7B96028A19A21D7416B733FBA15C65CAB370AB5BC5B3D0444B9,de.sweety.shooting,True,,build,http_location,0.3172910075898494,"START: Lde/sweety/shooting/CalculateResult;->calculateResults(Lde/sweety/shooting/ShootingApplication;Landroid/database/sqlite/SQLiteDatabase;Lde/sweety/shooting/CalculatedValues;Ljava/lang/String;Lde/sweety/shooting/InternalTextView;Lde/sweety/shooting/InternalTextView;ILjava/lang/String;)Ljava/lang/String;
",1
A2E6CD4D946065E5E4B16669E6F3D009D291E81A9EF77C7D6AEA9348F380F86C,deltagamabeta.cesketelevizevmobile,True,Real,build,exit,0.37906976744186044,"END: Ldeltagamabeta/cesketelevizevmobile/MainActivity;->onCreate(Landroid/os/Bundle;)V
",1
D34D98B92642E41BE5450D85D62A43B8E913F11FDFCCC6D9B0463609E20ECD34,free.girls.chat,False,,camera,http_location,False,,3
101EAE608EFA210A527FE1443851670D75021E74797A838A4FE56B6B32E69287,hu.chefpro.android,False,,location,sms_string,False,,5
F1E7D5D25D22852312DCAB1584E5B4CB630F462157C3804673C95DA6AB05D36A,in.oxeshop.oxeshop,True,Real,camera,stop_wifi,0.9269188612732174,"END: Lin/oxeshop/oxeshop/MainActivity;->onPause()V
",1
ABE1F27D283211281D04FE081BB0AB0ECA04775C0EBD361F2614788AC484B4F1,ioapp.ionic.starter,True,,camera,native_log_string,0.0,"START: Lioapp/ionic/starter/OneSignals;->onCreate()V
",2
461DDD68CC3C644C32043A1447B0C034D13A314EEED6FA456A5BDBDF75A1E7CA,iyapps.carrosusadosportugal,True,Real,location,native_log_model,0.722192369693713,"END: Liyapps/carrosusadosportugal/MainActivity$2;->onTick(J)V
",1
A1C29845C28E24BE35F8A3288481D015FD99C082FD82865A209738FA7DD6497B,jp.golddisc.z80cheatsheet,True,Both,location,exit,0.0,"START: Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V
",0
CDC3BA8DB2C83D41544CC63B2587B5D1B98D9E189723A955C87D8B14DEF6F6DA,kr.ac.yjc.comwdj.andrstudy.babesleep,True,,location,set_text,0.04,"START: Lkr/ac/yjc/comwdj/andrstudy/babesleep/MainActivity;->onCreate(Landroid/os/Bundle;)V
",1
657F014EF47C837F33BCC48E2892DA46E970B4F7E063630F7983494D697660D8,kr.speedx,False,,location,stop_wifi,False,,4
13939D8A0FE5A14C1CCAAD547831E89AEE0D19716060B6A1D142AA4CD8E72C0E,la.ggu.m16.m16chat,True,,camera,return,0.0,"END: Lla/ggu/m16/m16chat/LoginActivity;->onCreate(Landroid/os/Bundle;)V
",2
F877509D2768C4953B049C14E7009B9D9C1139E9DE4EB7641F0CBE3A902F6252,mindmine.audiobook,True,,location,native_log_model,0.545993865992075,"END: Lmindmine/audiobook/Main;->onResume()V
",2
D877FF35AB4A8DE325CBCD072834D43C711506EA3B1E1F3F8DB9BD6C400C0C4F,misol.alex.buttonfrontier,True,,location,native_log_string,0.0,"END: Lmisol/alex/buttonfrontier/MainActivity;->onCreate(Landroid/os/Bundle;)V
",2
33AB319CEDFEA22B4965012B47475FBB2CB3214BCA9B8F001034BC17A17CB136,moi.medisonlineindonesia.com,False,,location,sms_imei,False,,0
1645F505C8528E777EE05B8AE687D849E03A1187AB5CA3D49B840B1F5C9B2C9F,mtw.app.vtu,False,,build,sms_string,False,,4
C2E299B97FE5CCEE22B594F7525AE837B2E421EEE16752DFF12ABDD5EB102560,net.classicelectronic.sms,True,,camera,exit,0.6484771573604061,"END: Lnet/classicelectronic/sms/MainActivity;->onCreate(Landroid/os/Bundle;)V
",0
988A948633D5D5D4D659A1B03035C926958F8EBED7F75ECD4F03D08E56798E3B,net.myappy.charterchecklist,True,,build,return,0.011739594450373533,"END: La/a/n/i;->onWindowAttributesChanged(Landroid/view/WindowManager$LayoutParams;)V
",1
06C388340F5024793F1D14D413E2DE187ECD3F0427E9908B31E2BA11C93D6611,net.ruckman.iscwarn,True,,location,native_log_model,0.25,"START: Lnet/ruckman/iscwarn/c;->onCreate(Landroid/os/Bundle;)V
",1
5E0EBE018FBDC80DE1C9726DE3E8BE60526906DB7EB67D8ECAD1D1D086E9A38E,nl.candosoft.lifebalance,True,Both,location,stop_wifi,0.2773419473927088,"START: Lnl/candosoft/lifebalance/feature/MainActivity;->setupSwitches()V
",0
311062FD60E226EAC84CDBB73D0167665A048491AA01828BF858590B3AC78E82,nl.foodticket.app.orderapp658,True,,camera,native_phone_number_network,0.0,"END: Lnl/foodticket/app/orderapp658/OrderApp$MyWebViewClient;->onPageFinished(Landroid/webkit/WebView;Ljava/lang/String;)V
",1
F0AB4C62314F20C0FF896A0AEB1179BF7E6E092641F00F86423FDE7032DD2507,nl.sitedish.kofusushi,True,,build,native_log_model,0.25,"END: Ldagger/internal/DoubleCheck;->provider(Ljavax/inject/Provider;)Ljavax/inject/Provider;
",1
FF44DD4215E324FFF9E1C7B9ECE79572A73F210D66077C39B6FBF88DE2271C5C,nl.sitedish.maximiliano,True,,camera,return,0.18181818181818182,"END: Ldagger/internal/DoubleCheck;->provider(Ljavax/inject/Provider;)Ljavax/inject/Provider;
",0
1F4F4C771BD9F1DC307E713BFB62DE2C0AED032309244E25E455BC8AD2CCAC63,nl.sitedish.monalisaweesp,True,,camera,native_write_phone_number,0.46793061718434853,"END: Lnl/sitedish/monalisaweesp/MainActivity;->onStart()V
",0
8CCFFC2618111F4D05D3885617364222940F9208AE0E2633C66D83A8C09A9F84,ohms.com.ohms,True,Both,camera,write_string,0.10306249293705504,"END: Lohms/com/ohms/WebInterface/BrowserActivity;->onResume()V
",0
0E43605811A0D746B21D965C6DF5F81C37D7C3F41C131E8C9F0AED6ECE5277F2,org.mystphysx.wallet.mygulfcoinwallet,False,,camera,return,False,,1
ED5ECA004EDAA738DDFC883C9679BC970E3194EA6DAE545CBAA251A0F41A141C,ortsspiegel.emilen.com.ortsspiegel,False,,location,sms_string,False,,3
008EEAA66D7AFFEA85B4635EF6EC0E45B2AE69770A80AFD1723F166D3257CDE6,ru.articat.cmbc,False,,build,native_write_phone_number,False,,4
74864B722D1F5ED38DBEFD8D97DB592EC9B75E624B5B679DEC3434A8542A047B,ru.free.esplus,True,,camera,native_log_model,0.13113194727544503,"END: Lru/free/esplus/Main;->Landscape()Z
",0
E18DF861CED0313A41E6D660E7C5436C5A0A045E4CF5B09E7AAB09AF4209F932,ru.imilka.randomfact,True,,build,write_string,0.11764705882352941,"START: Lru/imilka/randomfact/MainActivity;->onCreate(Landroid/os/Bundle;)V
",1
D8B0DAE1745A0516DFB566581072C19E73EE3BB99C4FD9A38CED63C2B2DD2EEE,ru.intour_online.intourist,False,,build,set_text_reflection,False,,3
DD8A83CB9F7FD7EA84AC9017A58B844F43AE596C96CF2D2A8520992B008CBE10,tax.almaliki.soft,False,,build,http_location,False,,3
78421322EC4EA188F986FAC6F7A1D7590D7168BF959CA6D477A565F2CDD2293F,trex.tv.baharturktv.mobile,True,Both,location,native_phone_number_network,0.25,"START: Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V
",0
00C66E08A43923974757408F511E9BA233D19E2B207F6B0B708C40B190EB2FFF,usingnfc.com.mavricdemo,True,,camera,exit,0.23529411764705882,"START: Lusingnfc/com/mavricdemo/MainActivity;->onCreate(Landroid/os/Bundle;)V
",1
D487749D22C36C05297CF97722F2241E0EB8B474DCE45287CC9D26E37532FEEA,valhalldev.mwst,True,Real,location,write_string,0.7599069406746801,"END: Lvalhalldev/mwst/MainActivity;->onCreate(Landroid/os/Bundle;)V
",1
