diff filename,apk name,sign,rhsb,ehsb,Tr,Te
5DBF74D41A9FD2E31ADD62D06A3DAF80204171B1F269FF7B646C52BC6B3E7DB6,ir.museumhikers.musem,Lir/museumhikers/musem/MainActivity;->onCreate(Landroid/os/Bundle;)V : GT:goto_0 ,['Landroid/widget/TextView;->setText(Ljava/lang/CharSequence;)V'],,C:cond_1 True,C:cond_1 False
61FAD57A69FF2164EA05C9201EB10218620EE4D1690C85AEDCEDC403A1FBF379,io.github.visnkmr.bapl,Lcom/crashlytics/android/c/w;->a()V : C:cond_3 False,,,C:cond_2 False,C:cond_2 True
63AC91778448A8D09AF1253B23D9308AC57D461194B84EE6004621E10CAFE051,com.mobilinkd.tncconfig,Lcom/mobilinkd/tncconfig/TncConfig;->onCreate(Landroid/os/Bundle;)V : C:cond_0 True,,,C:cond_1 True,C:cond_1 False
6928713C406CF8D3EA1CF1479616E8604DA8A2A0E1255C2E6E3815FBD80DD12E,com.pennmike.app,Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V : C:cond_0 False,,,C:cond_1 True,C:cond_1 False
76D4011AA6F04163030BFA27E7043DED27A4CB01D371B0C9DEC73D7107817416,com.hvt.camera2test,Lcom/hvt/camera2test/Camera2Info;->formatSizes(Landroid/hardware/camera2/params/StreamConfigurationMap;Ljava/lang/Class;)Ljava/lang/String; : C:cond_3 False,,,C:cond_1 False,C:cond_1 True
831BBB439CDBB825934925E40D6E156FD4D5896FD7AF78EEE943A0F8412EA03D,com.darnijood.app,Lcom/onesignal/al;->d()Ljava/lang/Integer; : C:cond_2 False,,,C:cond_1 True,C:cond_1 False
831BBB439CDBB825934925E40D6E156FD4D5896FD7AF78EEE943A0F8412EA03D,com.darnijood.app,Lcom/onesignal/al;->e()Ljava/lang/String; : TS:try_start_1 ,,,C:cond_0 False,C:cond_0 True
84419C0405725EBCAD37A772BDFAC08EE05626B4D34F345D6F34ED82F8F5E3ED,com.visualhdstudio.autoload,Lcom/visualhdstudio/autoload/OpcodeChecker;->isNetworkConnected()Z : Lcom/visualhdstudio/autoload/OpcodeChecker;->isNetworkConnected()Z,,,C:cond_0 False,C:cond_0 True
84CD830A3C5A709DE87BE4A91D39B1CB55D46F0C1A493F2FB8908F97B7357FA4,com.gkarbeerlover.giorgoskaryofyllis.beerlover,Lcom/b/a/c/b/b/i$b;->b()I : GT:goto_1 ,,,C:cond_4 False,C:cond_4 True
89EB7BD3580CCCE23996EE8E2A55795ECB1651195EDE98C6114F2F96EAC382E6,es.hol.ing.ninochka,Les/hol/ing/ninochka/MainActivity;->access$000(Les/hol/ing/ninochka/MainActivity;)Landroid/speech/tts/TextToSpeech; : C:cond_1 False,,,C:cond_0 False,C:cond_0 True
8DA1971C3B3FA78EC7DD2C18EC917A42EE451B3E88CEE2152D10981DEE79AE34,com.bloomaxer.scribblerider_game_guide,Lcom/startapp/a/a/a;-><init>(Landroid/content/Context;)V : GT:goto_1 ,,,C:cond_5 False,C:cond_5 True
8FDC1E37CCE6DAF60C718B86B3069E66FD38DD227681EDF1B75663D79D3667E3,com.motivateinspirevids.inspireme,Lcom/startapp/sdk/adsbase/remoteconfig/MetaData;->g()Ljava/lang/Object; : C:cond_1 False,,,C:cond_0 True,C:cond_0 False
8FDC1E37CCE6DAF60C718B86B3069E66FD38DD227681EDF1B75663D79D3667E3,com.motivateinspirevids.inspireme,Lcom/startapp/a/b/a;->a(Ljava/lang/String;)Z : Lcom/startapp/a/b/a;->a(Ljava/lang/String;)Z,['Ljava/io/File;-><init>(Ljava/lang/String;Ljava/lang/String;)V'],,C:cond_2 False,C:cond_0 False
8FDC1E37CCE6DAF60C718B86B3069E66FD38DD227681EDF1B75663D79D3667E3,com.motivateinspirevids.inspireme,Lcom/startapp/sdk/adsbase/i/s;->b(Ljava/lang/Object;Ljava/lang/Object;)Z : Lcom/startapp/sdk/adsbase/i/s;->b(Ljava/lang/Object;Ljava/lang/Object;)Z,,,C:cond_1 False,C:cond_1 True
8FDC1E37CCE6DAF60C718B86B3069E66FD38DD227681EDF1B75663D79D3667E3,com.motivateinspirevids.inspireme,Lcom/startapp/sdk/adsbase/cache/e;->l()Z : Lcom/startapp/sdk/adsbase/cache/e;->l()Z,,,C:cond_0 False,C:cond_0 True
ABE1F27D283211281D04FE081BB0AB0ECA04775C0EBD361F2614788AC484B4F1,ioapp.ionic.starter,Lcom/onesignal/OSUtils;->getCarrierName()Ljava/lang/String; : TS:try_start_1 ,,,C:cond_0 False,C:cond_0 True
AD5BEAA5A2F4F30E3B79F7C07310B25FDAD2B41CC1EEC338E915EC747A9E8AC8,com.app.todosfolletoscanarias,Lb/d/a/b/b/s;->c(Ljava/lang/Object;)V : Lb/d/a/b/b/s;->c(Ljava/lang/Object;)V,,,C:cond_0 False,C:cond_0 True
B31526358148FCCC851FEDCFD9B4DFF4470795291A869D7304FB3A70AD98C9AD,com.frederic.distanceAlarme,Lb/e/b/k/d;->h()Lb/e/b/i; : C:cond_38 True,,,C:cond_39 True,C:cond_39 False
B31526358148FCCC851FEDCFD9B4DFF4470795291A869D7304FB3A70AD98C9AD,com.frederic.distanceAlarme,Lb/e/b/i;->a(Lb/e/b/b;)V : GT:goto_f ,,,C:cond_54 False,C:cond_12 False
B7B657F36AFAB21C269E3D5433DA40E93B20E4DE209A0FC2664CA1D9C09F8AEB,com.pentawire.netlook,Lcom/pentawire/netlook/NETInfo;->getSubnetMask()Ljava/lang/String; : TS:try_start_1 ,,,C:cond_0 True,C:cond_0 False
B7B657F36AFAB21C269E3D5433DA40E93B20E4DE209A0FC2664CA1D9C09F8AEB,com.pentawire.netlook,Lcom/pentawire/netlook/NETHandler;->handleMessage(Landroid/os/Message;)V : C:cond_3 False,"['Landroid/os/Bundle;->getString(Ljava/lang/String;)Ljava/lang/String;', 'Landroid/widget/TextView;->setText(Ljava/lang/CharSequence;)V']",['Landroid/widget/TextView;->setText(Ljava/lang/CharSequence;)V'],C:cond_2 True,C:cond_2 False
CC07C270D582CD99BF92F5270E78523CD354E4C34712570734B41778E84B8330,com.raiiware.interceptor,Lcom/raiiware/interceptor/subscription/h;->b(Lcom/raiiware/interceptor/subscription/h;)Lcom/raiiware/interceptor/subscription/a; : C:cond_0 True,,,C:cond_1 False,GT:goto_0 
CCE57480980D7FC9E0A25DA77761BE79FE178C066F88CB11EF9A4C17604B0BF1,com.krnhhd2.player,Lcom/krnhhd2/player/MainActivity$RegisterGcm;->doInBackground([Ljava/lang/String;)Ljava/lang/String; : TS:try_start_2 ,,,TC:catch_0 ,TS:try_start_3 
CD07EA4346A6DCF31B014D32FCFE408A18660E28D28F9A88C18FCED25FFFEB5D,dcunlocker.com.huaweiunlock2,Lc/b/a/a/c/e/ua;->a(Landroid/content/Context;)Lc/b/a/a/c/e/ra; : GT:goto_0 ,,,C:cond_3 False,C:cond_3 True
CD07EA4346A6DCF31B014D32FCFE408A18660E28D28F9A88C18FCED25FFFEB5D,dcunlocker.com.huaweiunlock2,Ld/a/a/a/f;->a(Ljava/util/Map;Ld/a/a/a/m;)V : C:cond_2 True,,,GT:goto_2 ,GT:goto_0 
CD07EA4346A6DCF31B014D32FCFE408A18660E28D28F9A88C18FCED25FFFEB5D,dcunlocker.com.huaweiunlock2,Ld/a/a/a/a/c/q;->a()Z : GT:goto_0 ,,,C:cond_1 False,C:cond_1 True
DAF64EF9AB25D62662C97D7375CB15973873B938B5C83872F339DB6FE17B64BA,com.simplaapliko.converter,Lcom/crashlytics/android/c/u;-><init>(Landroid/content/Context;)V : C:cond_1 False,,,C:cond_2 False,C:cond_2 True
DCEF322460C0EDA260F262BD6980048F9A9E9F80B30D5788AFE7A1E74CF087EB,com.narb.passwordmanagement,Lcom/narb/passwordmanagement/MainActivity;->initiateDrawer()V : Lcom/narb/passwordmanagement/MainActivity;->initiateDrawer()V,,,C:cond_0 True,C:cond_0 False
DCEF322460C0EDA260F262BD6980048F9A9E9F80B30D5788AFE7A1E74CF087EB,com.narb.passwordmanagement,Lcom/narb/passwordmanagement/MainActivity;->onOptionsItemSelected(Landroid/view/MenuItem;)Z : Lcom/narb/passwordmanagement/MainActivity;->onOptionsItemSelected(Landroid/view/MenuItem;)Z,,,C:cond_0 True,C:cond_0 False
E18DF861CED0313A41E6D660E7C5436C5A0A045E4CF5B09E7AAB09AF4209F932,ru.imilka.randomfact,Lru/imilka/randomfact/fragment/FragmentAdvice$GetAdvice;->doInBackground([Ljava/lang/String;)Ljava/lang/String; : TS:try_start_3 ,,,TC:catch_3 ,TS:try_start_4 
E18DF861CED0313A41E6D660E7C5436C5A0A045E4CF5B09E7AAB09AF4209F932,ru.imilka.randomfact,Lcom/bumptech/glide/load/engine/cache/MemorySizeCalculator$DisplayMetricsScreenDimensions;->getHeightPixels()I : GT:goto_1 ,,,C:cond_3 False,C:cond_3 True
EE1522398007C265E5094DE33B6F098EE475C01CA37185154B7607C1173BE8A6,com.iwillh.iwillhelp,Lb/a/a/a/e/i/t1;->a(Landroid/content/Context;)Lb/a/a/a/e/i/q1; : GT:goto_0 ,,,C:cond_3 False,C:cond_3 True
F0AB4C62314F20C0FF896A0AEB1179BF7E6E092641F00F86423FDE7032DD2507,nl.sitedish.kofusushi,Lnl/sitedish/kofusushi/DetectConnection;->checkInternetConnection(Landroid/content/Context;)Z : Lnl/sitedish/kofusushi/DetectConnection;->checkInternetConnection(Landroid/content/Context;)Z,,"['Landroid/net/ConnectivityManager;->getActiveNetworkInfo()Landroid/net/NetworkInfo;', 'Landroid/net/NetworkInfo;->isAvailable()Z']",C:cond_0 True,C:cond_0 False
FF44DD4215E324FFF9E1C7B9ECE79572A73F210D66077C39B6FBF88DE2271C5C,nl.sitedish.maximiliano,Lnl/sitedish/maximiliano/DetectConnection;->checkInternetConnection(Landroid/content/Context;)Z : Lnl/sitedish/maximiliano/DetectConnection;->checkInternetConnection(Landroid/content/Context;)Z,,"['Landroid/net/ConnectivityManager;->getActiveNetworkInfo()Landroid/net/NetworkInfo;', 'Landroid/net/NetworkInfo;->isAvailable()Z']",C:cond_0 True,C:cond_0 False
