diff filename,apk name,rhsb,ehsb,rhdsb,ehdsb,sign,Tr,Te
4C2AFD319BD46B634B8E42CD4EAF6D0CFC24EAEA53A23B2CF220D58ECE6DFD16,com.github.axet.hourlyreminder,['Landroid/widget/TextView;->setText(Ljava/lang/CharSequence;)V'],,True,,Lcom/github/axet/hourlyreminder/alarms/Reminder$Key;->formatShort(Landroid/content/Context;)Ljava/lang/String; : C:cond_1 False,C:cond_0 False,C:cond_0 True
4C2AFD319BD46B634B8E42CD4EAF6D0CFC24EAEA53A23B2CF220D58ECE6DFD16,com.github.axet.hourlyreminder,,,,,Lcom/github/axet/hourlyreminder/alarms/Week;->format2412(Landroid/content/Context;J)Ljava/lang/String; : Lcom/github/axet/hourlyreminder/alarms/Week;->format2412(Landroid/content/Context;J)Ljava/lang/String;,C:cond_0 False,C:cond_0 True
61FAD57A69FF2164EA05C9201EB10218620EE4D1690C85AEDCEDC403A1FBF379,io.github.visnkmr.bapl,,,,,Lcom/crashlytics/android/c/w;->a()V : C:cond_3 False,C:cond_2 False,C:cond_2 True
638B6F81FAFEC9CA235CF501A5A7986CB41884541372D9E4F08D7F4B63AF741A,com.ciiskills.assessment,,,,,Lcom/ciiskills/assessment/d/j;->ab()V : GT:goto_1 ,C:cond_3 True,C:cond_3 False
638B6F81FAFEC9CA235CF501A5A7986CB41884541372D9E4F08D7F4B63AF741A,com.ciiskills.assessment,,,,,Lcom/ciiskills/assessment/d/l;->ab()V : GT:goto_1 ,C:cond_3 True,C:cond_3 False
6883284BDEEB541FE035C78F8973A04CCB49F4410220A5840AF77ECE37D0D010,com.indiablo.diablo3paragoncalculator,['Landroid/telephony/TelephonyManager;->getImei()Ljava/lang/String;'],,,,Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V : Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V,C:cond_0 False,C:cond_0 True
697A473859BA3C99A3F8C581285FB06C3FC828932A35832CB1FF48FFC2F2B2AA,com.programming.monk.morsecodetranslator,,,,,Lcom/programming/monk/morsecodetranslator/MainActivityK$a;->onGlobalLayout()V : Lcom/programming/monk/morsecodetranslator/MainActivityK$a;->onGlobalLayout()V,C:cond_0 True,C:cond_0 False
6DAC515DF1FA94DBB50F7737FC920EEE62F0A2BA65A16F60BE2551BFE27BF39F,com.concept2.ergdata,,,,,Lcom/crashlytics/android/a/G;->a(Lc/a/a/a/m;Landroid/content/Context;Lc/a/a/a/a/b/y;Ljava/lang/String;Ljava/lang/String;J)Lcom/crashlytics/android/a/G; : C:cond_2 True,GT:goto_0 ,GT:goto_2 
6E7188815C3B5EC9B9A7B7E9C6E53700EF77C6B76567C0BDAFAC44AB4A545606,com.automaticdocs.serviceagreement,,,,,Lh2/z7;->i(I)Z : C:cond_1 False,C:cond_0 False,C:cond_0 True
76D4011AA6F04163030BFA27E7043DED27A4CB01D371B0C9DEC73D7107817416,com.hvt.camera2test,,,,,Lcom/hvt/camera2test/Camera2Info;->formatSizes(Landroid/hardware/camera2/params/StreamConfigurationMap;Ljava/lang/Class;)Ljava/lang/String; : C:cond_3 False,C:cond_0 True,C:cond_1 True
76D4011AA6F04163030BFA27E7043DED27A4CB01D371B0C9DEC73D7107817416,com.hvt.camera2test,,,,,Lcom/hvt/camera2test/Camera2Info;->formatSizes(Landroid/hardware/camera2/params/StreamConfigurationMap;Ljava/lang/Class;)Ljava/lang/String; : GT:goto_2 ,C:cond_0 True,C:cond_1 True
831BBB439CDBB825934925E40D6E156FD4D5896FD7AF78EEE943A0F8412EA03D,com.darnijood.app,,,,,Lcom/onesignal/aq;->b()V : GT:goto_0 ,C:cond_6 False,C:cond_6 True
831BBB439CDBB825934925E40D6E156FD4D5896FD7AF78EEE943A0F8412EA03D,com.darnijood.app,,,,,Lcom/onesignal/aq;->b(Ljava/lang/String;)Landroid/content/SharedPreferences; : C:cond_7 False,C:cond_2 False,C:cond_2 True
8CCFFC2618111F4D05D3885617364222940F9208AE0E2633C66D83A8C09A9F84,ohms.com.ohms,,,,,Lohms/com/ohms/WebInterface/BrowserActivity;->onBackPressed()V : Lohms/com/ohms/WebInterface/BrowserActivity;->onBackPressed()V,C:cond_0 True,C:cond_0 False
8DA1971C3B3FA78EC7DD2C18EC917A42EE451B3E88CEE2152D10981DEE79AE34,com.bloomaxer.scribblerider_game_guide,,,,,Lcom/startapp/sdk/adsbase/k;->i(Landroid/content/Context;)Ljava/lang/String; : TS:try_start_8 ,C:cond_3 True,C:cond_3 False
8DA1971C3B3FA78EC7DD2C18EC917A42EE451B3E88CEE2152D10981DEE79AE34,com.bloomaxer.scribblerider_game_guide,,,,,Lcom/iab/omid/library/startapp/d/a;->a(Landroid/content/Context;)Z : GT:goto_2 ,C:cond_8 False,C:cond_8 True
8DA1971C3B3FA78EC7DD2C18EC917A42EE451B3E88CEE2152D10981DEE79AE34,com.bloomaxer.scribblerider_game_guide,,,,,Lcom/startapp/sdk/adsbase/j/u;->b(Landroid/content/Context;)Ljava/lang/String; : TS:try_start_5 ,TS:try_start_6 ,C:cond_2 False
8DA1971C3B3FA78EC7DD2C18EC917A42EE451B3E88CEE2152D10981DEE79AE34,com.bloomaxer.scribblerider_game_guide,,,,,Lcom/startapp/sdk/d/c/b;->b(Z)Ljava/lang/String; : C:cond_1 True,C:cond_2 False,C:cond_2 True
8DA1971C3B3FA78EC7DD2C18EC917A42EE451B3E88CEE2152D10981DEE79AE34,com.bloomaxer.scribblerider_game_guide,,,,,Lcom/startapp/sdk/adsbase/model/AdPreferences;->getAge(Landroid/content/Context;)Ljava/lang/String; : TS:try_start_8 ,C:cond_3 True,C:cond_3 False
8DA1971C3B3FA78EC7DD2C18EC917A42EE451B3E88CEE2152D10981DEE79AE34,com.bloomaxer.scribblerider_game_guide,,,,,Lcom/startapp/sdk/adsbase/d/b;->a(Lcom/startapp/sdk/adsbase/d/a;)Lcom/startapp/common/b/e$a; : C:cond_3 True,C:cond_4 False,C:cond_4 True
8FDC1E37CCE6DAF60C718B86B3069E66FD38DD227681EDF1B75663D79D3667E3,com.motivateinspirevids.inspireme,,['Ljava/net/HttpURLConnection;->getResponseCode()I'],,,Lcom/startapp/common/b/e;->b(Landroid/content/Context;)Ljava/lang/Boolean; : C:cond_0 True,TS:try_start_5 ,GT:goto_1 
8FDC1E37CCE6DAF60C718B86B3069E66FD38DD227681EDF1B75663D79D3667E3,com.motivateinspirevids.inspireme,,,,,Lcom/startapp/sdk/adsbase/c;->b(Landroid/content/Context;)V : GT:goto_1 ,C:cond_3 True,TS:try_start_2 
8FDC1E37CCE6DAF60C718B86B3069E66FD38DD227681EDF1B75663D79D3667E3,com.motivateinspirevids.inspireme,,,,,Lcom/startapp/sdk/adsbase/c;->f(Landroid/content/Context;)V : C:cond_4 True,GT:goto_1 ,TS:try_start_0 
8FDC1E37CCE6DAF60C718B86B3069E66FD38DD227681EDF1B75663D79D3667E3,com.motivateinspirevids.inspireme,,,True,,Lb/b/a/a/a/h/a;->a(Landroid/content/Context;)Z : GT:goto_2 ,C:cond_8 False,C:cond_8 True
8FDC1E37CCE6DAF60C718B86B3069E66FD38DD227681EDF1B75663D79D3667E3,com.motivateinspirevids.inspireme,,,,,Lcom/startapp/sdk/adsbase/k;->a(Lcom/startapp/sdk/adsbase/model/AdPreferences$Placement;)Z : C:cond_0 True,C:cond_2 False,C:cond_2 True
9036CE3B42D17CB3B4F1267FBD138273C2E81E9CBB4CA6838B7848F3C1CC6824,sk.blade.globalvibratetoggledemo,['Landroid/preference/Preference;->getSummary()Ljava/lang/CharSequence;'],,,,Lsk/blade/globalvibratetoggledemo/MainActivity;->bindButtonCallbacks()V : Lsk/blade/globalvibratetoggledemo/MainActivity;->bindButtonCallbacks()V,C:cond_0 True,C:cond_0 False
9366E62462AC36DBD1922DBCF4180B1A5526EC9781BC76749C5BE0B5DC2D0231,com.dakshapps.junglewaterfall,,,,,Lcom/startapp/sdk/adsbase/infoevents/e;->a(Landroid/content/Context;)V : GT:goto_0 ,C:cond_12 False,C:cond_12 True
9366E62462AC36DBD1922DBCF4180B1A5526EC9781BC76749C5BE0B5DC2D0231,com.dakshapps.junglewaterfall,,,,,Lcom/startapp/sdk/adsbase/infoevents/d;->run()V : TS:try_start_8 ,TS:try_start_9 ,C:cond_c True
9F5FA29E48216F91644C451447BD6BD51ABF0686D1DDC8E0DA3CDE27E79FBE22,com.apinjari.chargerremovalalarm,,,,,La/b/k/r;->c(I)Z : C:cond_1 False,C:cond_0 False,C:cond_0 True
A5F6214933CF6DF4416BB119CB9964FD259C1F38CF59F4CE23676F913DA74041,com.diabetesid,['Landroid/content/Context;->registerReceiver(Landroid/content/BroadcastReceiver;Landroid/content/IntentFilter;)Landroid/content/Intent;'],,,,Lcom/a/a/c/p;-><init>(Landroid/content/Context;)V : C:cond_2 False,C:cond_1 False,C:cond_1 True
A5F6214933CF6DF4416BB119CB9964FD259C1F38CF59F4CE23676F913DA74041,com.diabetesid,,,,,La/a/a/a/a/b/i;->a(Landroid/content/Context;Z)I : La/a/a/a/a/b/i;->a(Landroid/content/Context;Z)I,C:cond_0 True,C:cond_0 False
A6F6CE4450563593EF8DD1F471FD353FF31569AAAEF6280C6BCAAEE5A931F255,com.shyri.whitescreenapp,,,,,La/a/a/C;->c(I)Z : C:cond_1 False,C:cond_0 False,C:cond_0 True
ABE1F27D283211281D04FE081BB0AB0ECA04775C0EBD361F2614788AC484B4F1,ioapp.ionic.starter,,,,,Lcom/onesignal/OSUtils;->getCarrierName()Ljava/lang/String; : TS:try_start_1 ,C:cond_0 False,C:cond_0 True
AD5BEAA5A2F4F30E3B79F7C07310B25FDAD2B41CC1EEC338E915EC747A9E8AC8,com.app.todosfolletoscanarias,,,,,Lb/d/b/n/f;->i(Lb/d/b/n/f;)V : C:cond_1 True,C:cond_2 False,C:cond_2 True
AD5BEAA5A2F4F30E3B79F7C07310B25FDAD2B41CC1EEC338E915EC747A9E8AC8,com.app.todosfolletoscanarias,,,,,Lb/d/b/n/f;->b(Z)Lb/d/a/b/h/h; : C:cond_0 False,TS:try_start_2 ,C:cond_0 True
AD5BEAA5A2F4F30E3B79F7C07310B25FDAD2B41CC1EEC338E915EC747A9E8AC8,com.app.todosfolletoscanarias,,,,,Lb/d/b/n/f;->m(Lb/d/b/n/p/d;)Lb/d/b/n/p/d; : C:cond_b False,GT:goto_5 ,TS:try_start_5 
AD5BEAA5A2F4F30E3B79F7C07310B25FDAD2B41CC1EEC338E915EC747A9E8AC8,com.app.todosfolletoscanarias,,,,,Lb/d/a/b/b/s;->c(Ljava/lang/Object;)V : Lb/d/a/b/b/s;->c(Ljava/lang/Object;)V,C:cond_0 False,C:cond_0 True
AE168AFF5DB88FF1CDEC413EE00A01294F9EDF4577CB69DD4047FDE0DEE1576F,io.appground.blek,,,,,Lio/appground/blehid/ClassicHidService;->k()V : C:cond_0 False,C:cond_1 False,C:cond_1 True
B3D05343A23A6E1F82389CB9FA78D3E325BEEF0E454FFC4E1CE22E8E0ADF661E,com.euromilons.app,,,,,Lcom/airbnb/lottie/utils/LottieValueAnimator;->getAnimatedValueAbsolute()F : Lcom/airbnb/lottie/utils/LottieValueAnimator;->getAnimatedValueAbsolute()F,C:cond_0 False,C:cond_0 True
C3D29B53D836E754275A8A32E21F0EC1286112446657B879A6CD37BA31EBA5DB,com.hotlunchorders.hotlunchorders,,,,,Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V : Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V,C:cond_0 True,C:cond_0 False
CC07C270D582CD99BF92F5270E78523CD354E4C34712570734B41778E84B8330,com.raiiware.interceptor,,,,,Lcom/raiiware/interceptor/subscription/h$2;->a_(I)V : TS:try_start_0 ,C:cond_0 True,C:cond_0 False
CD07EA4346A6DCF31B014D32FCFE408A18660E28D28F9A88C18FCED25FFFEB5D,dcunlocker.com.huaweiunlock2,,,,,Lc/b/a/a/c/e/ua;->a(Landroid/content/Context;)Lc/b/a/a/c/e/ra; : GT:goto_0 ,C:cond_3 False,C:cond_5 False
CD07EA4346A6DCF31B014D32FCFE408A18660E28D28F9A88C18FCED25FFFEB5D,dcunlocker.com.huaweiunlock2,,,,,Ld/a/a/a/a/b/a;->a(Ljava/lang/String;)Ljava/lang/String; : C:cond_0 False,GT:goto_0 ,TS:try_start_0 
DA5791E568BC1E79CFFA6CDAA3F14763654D6A5AAB45896A7DEE39894DE9C4F1,statusfacebook.vvidmate.allvideodownloader,,,,,Lcom/d/a/c/e;->c(Landroid/content/Context;)Ljava/io/File; : C:cond_1 False,C:cond_0 True,C:cond_0 False
DAF64EF9AB25D62662C97D7375CB15973873B938B5C83872F339DB6FE17B64BA,com.simplaapliko.converter,,,,,Lb/a/a/a/c;->h()Lb/a/a/a/l; : GT:goto_0 ,C:cond_4 False,C:cond_4 True
DAF64EF9AB25D62662C97D7375CB15973873B938B5C83872F339DB6FE17B64BA,com.simplaapliko.converter,,,,,Lcom/crashlytics/android/c/u;-><init>(Landroid/content/Context;)V : C:cond_1 False,C:cond_2 False,C:cond_2 True
DCEF322460C0EDA260F262BD6980048F9A9E9F80B30D5788AFE7A1E74CF087EB,com.narb.passwordmanagement,,,,,Lcom/narb/passwordmanagement/MainActivity;->initiateDrawer()V : Lcom/narb/passwordmanagement/MainActivity;->initiateDrawer()V,C:cond_0 True,C:cond_0 False
E18DF861CED0313A41E6D660E7C5436C5A0A045E4CF5B09E7AAB09AF4209F932,ru.imilka.randomfact,,,,,Lcom/bumptech/glide/module/ManifestParser;->parse()Ljava/util/List; : C:cond_4 True,C:cond_5 False,C:cond_5 True
EDCE7D31FD27A42807FB074DAA7B9BB501160EDA03E19C8677325B7CDF9C5C38,com.mexicojuegabasquetbol.app,"['Landroid/location/LocationManager;->getLastKnownLocation(Ljava/lang/String;)Landroid/location/Location;', 'Landroid/location/Location;->getLongitude()D']",,,,Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V : Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V,C:cond_0 False,C:cond_0 True
EE0A181B2FBF5F7F7E4B435C4819D9C6E14E330E423DEDBCD4682506719B36EE,an.MalayArabTranslate,,,,,Lcom/appbrain/c/v;->c()Z : C:cond_0 True,C:cond_2 False,C:cond_2 True
EE1522398007C265E5094DE33B6F098EE475C01CA37185154B7607C1173BE8A6,com.iwillh.iwillhelp,,,,,Lb/a/a/a/e/i/t1;->a(Landroid/content/Context;)Lb/a/a/a/e/i/q1; : GT:goto_0 ,C:cond_3 False,C:cond_3 True
